"ISO","Language","Family","Area","H","H_unigram","L2prop","MC","NumChap","Population","Rangesize","vehicularity"
"aie","Amara","Austronesian","N-Coast-New-Guinea",,,0,1,1,1170,141.8419324,0
"aii","Assyrian Neo-Aramaic","Afro-Asiatic","Greater-Mesopotamia",1.57235491275787,10.708062171936,0,,,108600,2508.469612,0
"aiw","Aari","Afro-Asiatic",,,,0.04458598792553,0.666666686534882,9,155000,2948.266213,0
"aja","Aja","Nilo-Saharan","African-Savannah",,,0,1,2,200,222.937805,0
"ajg","Aja","Niger-Congo","African-Savannah",,,0,0.5,4,512000,4686.819363,0
"aji","Ajië","Austronesian","Oceania",,,0,1,1,4040,1795.667823,0
"ajp","South Levantine Spoken Arabic","Afro-Asiatic","Greater-Mesopotamia",,,,0.25,1,6095000,28247.83921,1
"aka","Akan","Niger-Congo","African-Savannah",,,0.10853049904108,0.642857134342194,14,8300000,57389.31838,1
"akb","Batak Angkola","Austronesian",,1.50911891460419,8.12228298187256,0,,,750000,12406.80736,0
"akc","Mpur","Language-isolate","N-Coast-New-Guinea",,,0,0.5,4,7000,2151.735835,0
"ake","Akawaio","Cariban","NE-South-America",1.35557997226715,8.5148868560791,0,,,5350,23871.60858,0
"akh","Angal Heneng","Trans-New-Guinea",,1.16436088085175,8.53151512145996,0,,,40000,456.7099352,0
"akr","Araki","Austronesian","Oceania",,,0,0.25,1,8,2.376229514,0
"akz","Alabama","Muskogean","E-North-America",,,0,1,2,100,140.270917,0
"alc","Qawasqar","Kaweskaran","SE-South-America",,,0,0.395833343267441,8,12,531.6876195,0
"ale","Aleut","Eskimo-Aleut","N-Coast-Asia",,,0,0.778571426868439,7,490,2894.147758,0
"alh","Alawa","Australian","N-Australia",,,0,0.696428596973419,14,18,20722.23242,0
"alj","Alangan","Austronesian",,1.36738324165344,7.77111387252808,0,,,7690,1172.541918,0
"aln","Gheg Albanian","Indo-European",,1.80615139007568,9.11620140075684,,0.602941155433655,17,5660000,27330.07359,1
"alp","Alune","Austronesian","Oceania",1.33273267745972,8.3738317489624,0,0.333333343267441,9,17200,1420.482811,0
"alq","Algonquin","Algic","E-North-America",1.34095764160156,9.27716255187988,0,,,2430,1865.213173,0
"alr","Alutor","Chukotko-Kamchatkan","N-Coast-Asia",,,0,0,1,150,4692.404421,0
"alt","Southern Altai","Altaic","Inner-Asia",1.76232814788818,10.7628917694092,,0,1,20000,48578.15669,1
"aly","Alyawarr","Australian","S-Australia",1.22340071201324,10.6588649749756,0,0.847222208976746,12,1450,128476.9045,0
"alz","Alur","Nilo-Saharan",,1.66532576084137,9.09579372406006,0,,,1367000,6281.354746,0
"amc","Amahuaca","Panoan","NE-South-America",,,0,0.625,8,330,11312.27001,0
"ame","Yanesha'","Maipurean","Andean",1.34788191318512,10.1265325546265,0,1,2,9830,7727.585487,0
"amf","Hamer-Banna","Afro-Asiatic","Greater-Abyssinia",1.45376789569855,10.3726749420166,0.087233521044254,0.291666656732559,2,42800,8496.633818,0
"amh","Amharic","Afro-Asiatic","Greater-Abyssinia",2.27224826812744,11.5716438293457,0.154909551143646,0.542857170104981,21,17400000,145259.6047,1
"amk","Ambai","Austronesian","N-Coast-New-Guinea",1.44278907775879,9.10378265380859,0,0.5,8,10100,190.0430024,0
"amm","Ama","Arai-(Left-May)","N-Coast-New-Guinea",1.22758066654205,8.5399751663208,0,,,480,237.7539299,0
"amn","Amanab","Border","N-Coast-New-Guinea",1.49488830566406,9.60879516601563,0,0.428571432828903,7,4420,620.8494492,0
"amo","Amo","Niger-Congo","African-Savannah",,,0,0.800000011920929,5,12300,496.1953072,0
"amp","Alamblak","Sepik","N-Coast-New-Guinea",1.63342344760895,10.2119112014771,0,0.640922605991364,24,1530,612.1605007,0
"amr","Amarakaeri","Harákmbut","NE-South-America",1.37247884273529,10.7603349685669,0,,,500,3426.313034,0
"amu","Guerrero Amuzgo","Otomanguean","Mesoamerica",1.36188960075378,9.01952838897705,0,,,23000,749.7297756,0
"amx","Anmatyerre","Australian",,1.25819718837738,9.337890625,0,,,1220,28102.79947,0
"amy","Ami","Australian",,,,0,1,1,32,568.8224647,0
"anc","Ngas","Afro-Asiatic","African-Savannah",,,0,0.16666667163372,6,400000,1295.453602,0
"ane","Xârâcùù","Austronesian","Oceania",,,0,0.125,8,3780,1641.173665,0
"anh","Nend","Trans-New-Guinea","N-Coast-New-Guinea",,,0,1,1,2000,195.7006302,0
"ank","Goemai","Afro-Asiatic","African-Savannah",,,0,0,8,200000,1822.209832,0
"ann","Obolo","Niger-Congo","African-Savannah",1.50146734714508,8.70216751098633,0,0.416666656732559,12,200000,1294.374593,0
"ano","Andoque","Language-isolate","NE-South-America",,,0,0.75,4,370,925.8038372,0
"anq","Jarawa","Andamanese","Southeast-Asia",,,0,1,1,250,344.8038855,0
"anu","Anuak","Nilo-Saharan","Greater-Abyssinia",,,0.014580885879696,0.571428596973419,7,97600,17030.82937,0
"anv","Denya","Niger-Congo",,1.70881056785584,9.37690734863281,0,,,11200,1873.481402,0
"any","Anyin","Niger-Congo","African-Savannah",,,0.014568764716387,1,2,860000,28672.71979,0
"anz","Anem","Yele-West-New-Britain","N-Coast-New-Guinea",,,0,0.800000011920929,5,550,486.6821345,0
"aoa","Angolar","Creole","S-Africa",,,0,0.5,1,5000,128.2676637,0
"aoc","Pemon","Cariban","NE-South-America",,,0,0,1,6160,56979.50003,0
"aoi","Anindilyakwa","Australian","N-Australia",,9.7968635559082,0,0.833333313465118,6,1240,2590.059038,0
"aoj","Mufian","Torricelli","N-Coast-New-Guinea",1.4459753036499,9.55925559997559,0,0.428571432828903,7,11000,321.7530272,0
"aom","Ömie","Trans-New-Guinea","S-New-Guinea",1.36037707328796,10.0992660522461,0,0.5,6,800,372.2014103,0
"aon","Bumbita Arapesh","Torricelli","N-Coast-New-Guinea",1.21875619888306,8.83078956604004,0,,,4340,70.74997157,0
"aoz","Uab Meto","Austronesian","Oceania",1.46920454502106,8.24532985687256,0,,,586000,10893.83887,0
"apb","Sa'a","Austronesian","Oceania",,,0,0.200000002980232,5,11500,462.9074539,0
"apc","North Levantine Spoken Arabic","Afro-Asiatic","Greater-Mesopotamia",,,,0.850000023841858,6.5,13300000,43176.46394,1
"ape","Bukiyip","Torricelli","N-Coast-New-Guinea",1.26825451850891,9.21878337860107,0,0.538265287876129,21,16200,1027.310575,0
"aph","Athpariya","Sino-Tibetan","Indic",,,0,0.888888895511627,9,2000,60.14979524,0
"apm","Mescalero-Chiricahua Apache","Eyak-Athabaskan","Basin-and-Plains",,,0,1,1,1800,1539.40346,0
"apn","Apinayé","Jean","NE-South-America",1.2746514081955,7.53323602676392,0,0.550000011920929,5,1260,3609.218396,0
"apq","A-Pucikwar","Andamanese","Southeast-Asia",,,0,1,3,10,665.817013,0
"apr","Arop-Lukep","Austronesian","N-Coast-New-Guinea",1.19883489608765,7.60562515258789,0,0.25,4,3020,520.8765054,0
"apt","Apatani","Sino-Tibetan","Indic",,,0,0.5,7,24000,2587.781795,0
"apu","Apurinã","Maipurean","NE-South-America",1.36331748962402,9.98533725738525,0,0.573015868663788,27,4087,31295.5603,0
"apw","Western Apache","Eyak-Athabaskan","Basin-and-Plains",1.5226321220398,10.5008249282837,0,1,5,12700,8001.813515,0
"apy","Apalaí","Cariban","NE-South-America",1.34665989875793,8.88337421417236,0,0.571428596973419,14,450,2475.881412,0
"apz","Safeyoka","Trans-New-Guinea","Interior-New-Guinea",1.21596527099609,9.69814586639404,0,,,2390,691.8976791,0
"aqc","Archi","North-Caucasian","Greater-Mesopotamia",,,0,0.709090888500214,11,1200,45.69018084,0
"are","Western Arrarnta","Australian","S-Australia",1.16981589794159,9.32016181945801,0,1,5,1000,36796.67371,0
"arh","Arhuaco","Chibchan","NE-South-America",,,0,0.660317480564118,21,14800,627.302018,0
"ari","Arikara","Caddoan","Basin-and-Plains",,,0,1,1,20,835.1417741,0
"arl","Arabela","Zaparoan","NE-South-America",1.28359842300415,9.74581623077393,0,0.875,1,50,983.3332509,0
"arn","Mapudungun","Mapudungu","Andean",1.49365949630737,8.50596714019775,0,0.503113567829132,26,300000,160095.4668,0
"aro","Araona","Tacanan","NE-South-America",,,0,0.430555552244186,21,81,357.6404206,0
"arp","Arapaho","Algic","Basin-and-Plains",,9.89444637298584,0,1,1,1040,5121.22029,0
"arr","Karo","Tupian","NE-South-America",,,0,0.333333343267441,9,170,1634.268373,0
"arv","Arbore","Afro-Asiatic","Greater-Abyssinia",,,0.301356583833694,0.400000005960465,1,4440,1683.488776,0
"arw","Arawak","Maipurean","NE-South-America",,,0,0.621212124824524,11,2450,11392.49829,0
"ary","Moroccan Spoken Arabic","Afro-Asiatic","N-Africa",,,0.180147215723991,0.615384638309479,13,20140000,145407.3953,1
"arz","Egyptian Spoken Arabic","Afro-Asiatic","N-Africa",1.67389369010925,11.5725288391113,,0.562967658042908,28,53410000,33298.79509,1
"asa","Asu","Niger-Congo","S-Africa",,,0,1,6,500000,8103.95917,0
"asm","Assamese","Indo-European","Indic",,,,1,6,16709000,53261.9773,1
"aso","Dano","Trans-New-Guinea",,1.37822473049164,9.47721862792969,0,,,30000,214.8810341,0
"ata","Pele-Ata","Yele-West-New-Britain",,1.26028060913086,8.39099788665772,0,,,2000,755.4327736,0
"atb","Zaiwa","Sino-Tibetan",,1.29380583763123,7.94583463668823,0,,,110000,3440.698678,0
"atd","Ata Manobo","Austronesian",,1.37442100048065,7.5318489074707,0,,,26700,1725.30201,0
"atg","Ivbie North-Okpela-Arhe","Niger-Congo",,1.59218680858612,8.10822105407715,0,,,20000,207.5598355,0
"att","Pamplona Atta","Austronesian",,1.34556269645691,7.728102684021,0,,,1000,91.74699569,0
"atw","Atsugewi","Palaihnihan","Basin-and-Plains",,,0,1,3,3,6.83415869,0
"aty","Aneityum","Austronesian","Oceania",,,0,0.466666668653488,10,900,158.2773064,0
"auc","Waorani","Language-isolate","NE-South-America",1.31650292873383,9.3189640045166,0,0.809523820877075,7,1650,8872.151547,0
"aui","Anuki","Austronesian",,1.50071716308594,9.01349353790283,0,,,890,160.1259034,0
"aun","Molmo One","Torricelli","N-Coast-New-Guinea",,,0.28571429848671,0.75,4,500,28.81205123,0
"auw","Awyi","Border","N-Coast-New-Guinea",,,0,1,1,350,173.9125367,0
"auy","Awiyaana","Trans-New-Guinea","Interior-New-Guinea",1.47035992145538,11.1333570480347,0,,,11100,351.8053569,0
"ava","Avar","North-Caucasian","Greater-Mesopotamia",1.68226552009583,11.0921878814697,,0.857142865657806,7,788000,12296.88591,1
"avi","Avikam","Niger-Congo","African-Savannah",,,0,0.5,2,21000,382.0475632,0
"avt","Au","Torricelli","N-Coast-New-Guinea",1.35416281223297,8.41404438018799,0,0.25,8,8000,219.4572077,0
"avu","Avokaya","Nilo-Saharan","African-Savannah",1.40297472476959,7.68108987808228,0,0.625,6,65000,4625.127603,0
"awa","Awadhi","Indo-European","Indic",2.00675296783447,9.17796134948731,0.014752713032067,,,38261000,42290.64936,0
"awb","Awa","Trans-New-Guinea","Interior-New-Guinea",1.45372688770294,10.4479885101318,0,0.857142865657806,7,2050,327.12529,0
"awi","Aekyom","Trans-New-Guinea","Interior-New-Guinea",1.50060749053955,8.48536014556885,0,1,2,8000,4790.394801,0
"awn","Awngi","Afro-Asiatic","Greater-Abyssinia",,,0.116371519863606,0.625,4,500000,5991.906932,0
"ayc","Southern Aymara","Aymaran",,,,0,0.672902464866638,21,219000,9294.266465,0
"ayn","Sanaani Spoken Arabic","Afro-Asiatic","Greater-Mesopotamia",,,0,1,1,7600000,119383.3202,0
"ayo","Ayoreo","Zamucoan","SE-South-America",1.38608253002167,8.53717422485352,0,1,3,3070,70112.10148,0
"ayr","Central Aymara","Aymaran","Andean",1.52708005905151,11.7001132965088,0,,,2262900,252666.8456,0
"ayz","Mai Brat","Maybrat","N-Coast-New-Guinea",,,0,0.291710764169693,27,20000,8377.786824,0
"azb","South Azerbaijani","Altaic","Greater-Mesopotamia",1.79471611976624,10.9228458404541,,0.86388885974884,9.5,12330000,132020.1074,1
"azg","San Pedro Amuzgos Amuzgo","Otomanguean",,1.2472186088562,8.44908618927002,0,,,4000,58.12915342,0
"azz","Highland Puebla Nahuatl","Uto-Aztecan","Mesoamerica",1.34438800811768,8.70194339752197,0,,,125000,516.8590513,0
"baa","Babatana","Austronesian","Oceania",,,0,0.111111111938953,9,7070,1998.587739,0
"bag","Tuki","Niger-Congo","African-Savannah",,,0,1,3,26000,1594.601436,0
"bak","Bashkir","Altaic","Inner-Asia",1.8377560377121,10.9082040786743,0,0.666666686534882,12,1380000,104855.7169,0
"bam","Bamanankan","Niger-Congo","African-Savannah",1.53471386432648,7.73285913467407,0.709401965141297,0.464743584394455,13,2772040,138520.6738,1
"ban","Bali","Austronesian","Southeast-Asia",1.41692578792572,9.49230194091797,0,0.5,4,3330000,5888.946126,0
"bao","Waimaha","Tucanoan","NE-South-America",1.32810401916504,8.88609886169434,0,,,700,2618.481947,0
"bar","Bavarian","Indo-European","Europe",1.90912544727325,9.15712451934814,0,,,250000,,0
"bas","Basaa","Niger-Congo","African-Savannah",,,0,0.5,2,230000,16076.92329,0
"bav","Vengo","Niger-Congo","African-Savannah",1.48809468746185,7.95560550689697,0,0.393939405679703,11,27000,191.845107,0
"baw","Bambili-Bambui","Niger-Congo","African-Savannah",,,0,0.333333343267441,3,10000,61.4451976,0
"bba","Baatonum","Niger-Congo","African-Savannah",1.66652321815491,8.47918224334717,,,,560000,33159.01732,1
"bbb","Barai","Trans-New-Guinea","S-New-Guinea",1.33824813365936,8.570631980896,0,0.694444417953491,9,800,991.4269014,0
"bbc","Batak Toba","Austronesian","Southeast-Asia",1.58244872093201,8.30562114715576,0,0.222222223877907,9,2000000,15797.85027,0
"bbd","Bau","Trans-New-Guinea","N-Coast-New-Guinea",,,0,1,2,3060,40.19750055,0
"bbl","Bats","North-Caucasian","Greater-Mesopotamia",,,0,0.625,8,3420,206.8156691,0
"bbo","Northern Bobo Madaré","Niger-Congo","African-Savannah",,,0,0.5,2,60000,3942.128595,0
"bbr","Girawa","Trans-New-Guinea",,1.36078190803528,8.58609104156494,0,,,4000,363.910098,0
"bca","Central Bai","Sino-Tibetan","Southeast-Asia",,,0,0,6,800000,21201.16055,0
"bch","Bariai","Austronesian","N-Coast-New-Guinea",1.3208909034729,7.98264122009277,0,,,1380,79.81677152,0
"bci","Baoulé","Niger-Congo","African-Savannah",,,0,0.5,2,2130000,28826.43896,0
"bck","Bunaba","Australian","N-Australia",,,0,1,3,160,4678.007021,0
"bcl","Central Bicolano","Austronesian",,1.46036851406097,8.4158992767334,,0.333333343267441,6,2500000,7138.190112,1
"bcm","Bannoni","Austronesian","Oceania",,,0,0.428571432828903,7,1000,444.9391766,0
"bco","Kaluli","Trans-New-Guinea","Interior-New-Guinea",,9.5812463760376,0,1,2,2500,598.9545337,0
"bcq","Bench","Afro-Asiatic","Greater-Abyssinia",,,0.060982190072537,0.75,9,174000,1890.861495,0
"bcw","Bana","Afro-Asiatic","African-Savannah",1.42160105705261,8.22248363494873,0,,,23000,321.6281088,0
"bdd","Bunama","Austronesian",,1.40986096858978,9.15014743804932,0,,,4000,219.5208946,0
"bdh","Baka","Nilo-Saharan","African-Savannah",,,0,0.200000002980232,5,26300,3762.508119,0
"bdk","Budukh","North-Caucasian","Greater-Mesopotamia",,,0,0.5,2,1000,26.26581955,0
"bdl","Indonesian Bajau","Austronesian","Oceania",,,0,0.5,4,150000,73.3004075,0
"bdm","Buduma","Afro-Asiatic","African-Savannah",,,0,0.666666686534882,9,54800,14083.73638,0
"bdr","West Coast Bajau","Austronesian","Southeast-Asia",,,0,0.125,8,55000,1053.871573,0
"bds","Burunge","Afro-Asiatic","S-Africa",,,0,0.740740716457367,9,13000,1860.021871,0
"bdu","Oroko","Niger-Congo","African-Savannah",,,0,1,4,106000,5174.897537,0
"bdy","Bandjalang","Australian","S-Australia",,,0,0.927083313465118,5,10,5141.31093,0
"bea","Beaver","Eyak-Athabaskan","E-North-America",1.6935179233551,9.59981918334961,0,,,300,1842.500838,0
"bee","Byangsi","Sino-Tibetan","Indic",,,0.020710058510304,0.566666662693024,10,1730,162.054006,0
"bef","Benabena","Trans-New-Guinea","Interior-New-Guinea",1.38490617275238,9.66261959075928,0,0,1,45000,748.8915979,0
"bej","Bedawi","Afro-Asiatic","N-Africa",,,0,0.669809520244599,25,1109000,283589.7984,0
"bel","Belarusan","Indo-European","Inner-Asia",,,,0.75,4,6720000,207604.6622,1
"bem","Bemba","Niger-Congo","S-Africa",1.61484396457672,9.66797924041748,,,,3600000,122798.0485,1
"ben","Bengali","Indo-European","Indic",1.7346625328064,9.90998268127441,0.07342854142189,0.5,5,180623600,201287.6053,1
"bev","Daloa Bété","Niger-Congo",,,,0,0,1,130000,2004.354302,0
"bex","Jur Modo","Nilo-Saharan","African-Savannah",1.45739161968231,7.88262462615967,0,0.111111111938953,9,100000,4303.638162,0
"bfa","Bari","Nilo-Saharan","African-Savannah",,,0.267175585031509,0.493055552244186,7,480000,27818.79416,1
"bfd","Bafut","Niger-Congo","African-Savannah",1.67818605899811,8.62735080718994,0,,,105000,149.5092667,0
"bfo","Malba Birifor","Niger-Congo",,1.60251915454865,6.96656703948975,0,,,108000,3179.718062,0
"bft","Balti","Sino-Tibetan","Indic",,,0,0.666666686534882,6,270000,4210.016043,0
"bfw","Bondo","Austro-Asiatic",,,,0,0.69696968793869,11,9000,456.2079837,0
"bgp","Eastern Balochi","Indo-European",,,,0,0.583333313465118,3,1800000,57314.92058,0
"bgr","Bawm Chin","Sino-Tibetan","Indic",1.3990706205368,7.65395212173462,0,0.23083333671093,20,21520,2963.474897,0
"bgs","Tagabawa","Austronesian",,1.1920884847641,7.71294832229614,0,,,43000,240.6222323,0
"bgz","Banggai","Austronesian","Oceania",1.45810902118683,9.12009906768799,0,,,125000,3025.952542,0
"bhg","Binandere","Trans-New-Guinea","S-New-Guinea",1.33227622509003,8.69151496887207,0,0.571428596973419,7,7000,3056.617449,0
"bhl","Bimin","Trans-New-Guinea",,1.14551913738251,8.78902530670166,0,,,2250,1045.199434,0
"bho","Bhojpuri","Indo-European","Indic",,,0.00403986312449,0.666666686534882,6,38210000,43331.48831,0
"bhp","Bima","Austronesian","Southeast-Asia",1.39310348033905,8.76479816436768,0,,,500000,7033.888943,0
"bhq","Tukang Besi South","Austronesian","Oceania",,,0,0.409478008747101,26,130000,114.827674,0
"bhw","Biak","Austronesian","N-Coast-New-Guinea",,,0,0.400000005960465,10,30000,4000.22992,0
"bia","Badimaya","Australian","S-Australia",,,0,0.666666686534882,3,20,12152.25096,0
"bib","Bissa","Niger-Congo","African-Savannah",1.51110935211182,7.28131151199341,0,1,1,582000,6842.242348,0
"bid","Bidiyo","Afro-Asiatic","African-Savannah",,,0,1,2,14000,1387.862475,0
"big","Biangai","Trans-New-Guinea",,1.22768318653107,9.28970432281494,0,,,1400,606.7515643,0
"bim","Bimoba","Niger-Congo","African-Savannah",1.61141777038574,8.04751014709473,0,0.333333343267441,6,120000,1100.724315,0
"bin","Edo","Niger-Congo","African-Savannah",,,0,0,3,1000000,8004.686373,0
"bio","Nai","Kwomtari","N-Coast-New-Guinea",,,0,0.833333313465118,6,600,167.1770167,0
"bip","Bila","Niger-Congo",,,,0,1,3,40000,8291.846393,0
"bis","Bislama","Creole","Oceania",1.16985833644867,6.68724346160889,,1,1,1200,13.98636353,1
"biv","Southern Birifor","Niger-Congo",,1.6022036075592,7.37332773208618,0,,,129310,3307.146488,0
"bjr","Binumarien","Trans-New-Guinea","Interior-New-Guinea",1.44240844249725,10.5049896240234,0,,,360,18.73887269,0
"bjt","Balanta-Ganja","Niger-Congo","African-Savannah",,,0,0.666666686534882,3,82800,882.1936304,0
"bjv","Bedjond","Nilo-Saharan",,1.56564736366272,7.76527547836304,0,,,36000,3251.60868,0
"bkc","Baka","Niger-Congo","African-Savannah",,,0,0.533333361148834,5,43200,54659.37962,0
"bkd","Binukid","Austronesian","Oceania",1.34380996227264,7.77079629898071,0,,,100000,6239.938771,0
"bkk","Brokskat","Indo-European","Indic",,,0,0.583333313465118,2,10000,681.4254494,0
"bkl","Berik","Tor-Kwerba","N-Coast-New-Guinea",,,0,0.25,1,1200,1312.235849,0
"bkq","Bakairí","Cariban","NE-South-America",1.45113956928253,9.74552536010742,0,,,950,2126.01884,0
"bku","Buhid","Austronesian",,1.41596579551697,8.75476551055908,0,,,8000,1148.480156,0
"bkv","Bekwarra","Niger-Congo",,1.3704582452774,8.20543384552002,0,,,100000,285.3555037,0
"bla","Blackfoot","Algic","Basin-and-Plains",,,0,0.909090936183929,11,4600,11357.57021,0
"blb","Bilua","Central-Solomons","Oceania",,,0,0.5,8,8740,695.0029128,0
"blc","Bella Coola","Salish","Alaska-Oregon",,,0,0.699999988079071,10,20,45.76502052,0
"blh","Kuwaa","Niger-Congo",,1.53866624832153,8.29785060882568,0,,,12800,1090.64392,0
"bli","Bolia","Niger-Congo","S-Africa",,,0,1,2,100000,5138.853284,0
"blw","Balangao","Austronesian","Oceania",1.28478336334229,8.2104024887085,0,1,2,21300,399.358446,0
"blz","Balantak","Austronesian","Oceania",1.4244567155838,8.55655670166016,0.032258063554764,,,30000,986.3720059,0
"bmb","Bembe","Niger-Congo",,1.53849840164185,9.23380947113037,0,,,252000,10079.99161,0
"bmh","Kein","Trans-New-Guinea",,1.33441042900085,8.40388965606689,0,,,1750,77.95001115,0
"bmi","Bagirmi","Nilo-Saharan","African-Savannah",,,,0.42252379655838,25,44800,26017.54081,1
"bmk","Ghayavi","Austronesian",,1.45057320594788,8.6164722442627,0,,,2810,95.17839465,0
"bmq","Bomu","Niger-Congo",,1.65866196155548,7.83596515655518,0,,,158000,7775.378398,0
"bmr","Muinane","Witotoan","NE-South-America",1.51013100147247,10.863938331604,0,1,7,150,2688.378542,0
"bmu","Burum-Mindik","Trans-New-Guinea","N-Coast-New-Guinea",1.51281249523163,10.3137044906616,0,1,4,8250,686.0349624,0
"bng","Benga","Niger-Congo","S-Africa",,,0,1,1,4100,324.9356386,0
"bni","Bangi","Niger-Congo","S-Africa",,,0,1,2,111300,2676.46017,0
