ISO,Language,Family,Area,H,H_unigram,L2prop,MC,NumChap,Population,Rangesize,vehicularity,ethnologue_L2_users,used_as_L2_by,notes,NOTA BENE! Remember to use Ethnologue version 20 (the 2017 version)!,,,
lee,Lyélé,Niger-Congo,African-Savannah,1.514929652,8.234980583,0,,,130000,3301.952608,0,FALSE,Used as L2 by Northern Nuni [nuv].,,,,,
lef,Lelemi,Niger-Congo,African-Savannah,1.567337513,8.981498718,0,0.555555582,9,48900,564.1735491,0,FALSE,no information,,,,,
leh,Lenje,Niger-Congo,,1.446098447,10.65777588,0,,,156000,37702.18563,0,FALSE,no information,,,,,
lem,Nomaande,Niger-Congo,,1.495145082,9.119221687,0,,,6000,436.2307377,0,FALSE,no information,,,,,
lep,Lepcha,Sino-Tibetan,Indic,,,0,0.3150793612,21,52830,1828.215357,0,FALSE,no information,,,,,
les,Lese,Nilo-Saharan,S-Africa,,,0,1,3,50000,25793.98121,0,FALSE,no information,,,,,
leu,Kara,Austronesian,N-Coast-New-Guinea,1.381209254,7.735731602,0,,,5000,211.9025153,0,FALSE,no information,,,,,
lew,Ledo Kaili,Austronesian,Oceania,1.472678185,,,,,234000,4899.492886,1,FALSE,Used as L2 by Uma [ppk].,,,,,
lex,Luang,Austronesian,Oceania,1.520614386,9.604016304,0,,,18000,675.4882414,0,FALSE,no information,,,,,
lez,Lezgi,North-Caucasian,Greater-Mesopotamia,,,0,0.5679422021,28,761000,6906.141365,0,FALSE,no information,,,,,
lgg,Lugbara,Nilo-Saharan,S-Africa,,,0,0.4833333194,10,1637000,4983.930328,0,FALSE,"Used as L2 by Alur [alz], Southern Ma’di [snm].",,,,,
lgu,Longgu,Austronesian,Oceania,,,0,0.2222222239,9,1890,286.1475565,0,FALSE,no information,,,,,
lhm,Lhomi,Sino-Tibetan,Indic,1.351961732,9.490517616,0,1,3,7980,1341.468827,0,FALSE,"Used as L2 by Eastern Tamang [taj], Gurung [gvr], Khaling [klr], Naaba [nao], Thudam [thw].",,,,,
lhu,Lahu,Sino-Tibetan,Southeast-Asia,1.069886804,7.138971806,,0.1273809522,14,452574,21209.43844,1,FALSE,"Used as L2 by Lahu Shi [lhi], Laomian [lwm], Sangkong [sgk], Shixing [sxg], Vo Wa [wbm].",,,,,
lia,West-Central Limba,Niger-Congo,,1.421227813,8.151374817,,,,335000,1971.106265,1,FALSE,no information,,,,,
lid,Nyindrou,Austronesian,,1.424627304,8.010156631,0,,,4200,339.880757,0,FALSE,"Used as L2 by Likum [lib], Sori-Harengan [sbh].",,,,,
lif,Limbu,Sino-Tibetan,Indic,1.395215034,10.38577271,0.0550185889,0.8269230723,13,358000,5387.596921,0,TRUE,no information,,,,,
lil,Lillooet,Salish,Alaska-Oregon,,,0,1,5,200,159.5996067,0,FALSE,no information,semi-speakers,,,,
lip,Sekpele,Niger-Congo,,1.6585145,9.091925621,0,,,23400,54.84619382,0,FALSE,no information,,,,,
lis,Lisu,Sino-Tibetan,Southeast-Asia,,,,0,2,766000,16450.48883,1,FALSE,"Used as L2 by Anong [nun], Central Bai [bca], Drung [duu], Northern Pumi [pmi], Nusu [nuf], Southern Pumi [pmj], Zaiwa [atb], Zauzou [zal].",,,,,
lit,Lithuanian,Indo-European,Inner-Asia,2.026443005,10.62676525,,0.6499999762,15,2960000,64856.94135,1,FALSE,no information,,,,,
liy,Banda-Bambari,Niger-Congo,African-Savannah,,,0,0.15625,8,183000,25483.93224,0,FALSE,no information,,,,,
ljp,Lampung,Austronesian,Southeast-Asia,1.507272959,8.720855713,0,0.3000000119,10,827000,7315.881671,0,FALSE,no information,,,,,
lkr,Päri,Nilo-Saharan,African-Savannah,,,0,0.6666666865,9,28000,251.9266656,0,FALSE,no information,,,,,
lkt,Lakota,Siouan-Catawban,Basin-and-Plains,,,0.04545454681,0.4263392985,24,6189,22700.11982,0,TRUE,no information,,,,,
lln,Lele,Afro-Asiatic,African-Savannah,,,0,0.4916666746,12,26000,637.3875484,0,FALSE,no information,,,,,
llp,North Efate,Austronesian,Oceania,,,0,0,1,9500,266.5803549,0,FALSE,"Used as L2 by Emae [mmw], Eton [etn], Lelepa [lpa].",,,,,
lml,Hano,Austronesian,Oceania,,,,0.5,2,6500,87.77900657,1,FALSE,no information,,,,,
lmn,Lambadi,Indo-European,Indic,,,0,0.4444444478,9,6000000,50420.38134,0,FALSE,no information,,,,,
lmu,Lamenu,Austronesian,Oceania,,,0,0,1,850,22.42506583,0,FALSE,no information,,,,,
lob,Lobi,Niger-Congo,African-Savannah,1.78213501,9.036053658,0,0.5,1,442000,10049.57045,0,FALSE,"Used as L2 by Kaansa [gna], Malba Birifor [bfo], Téén [lor].",,,,,
log,Logo,Nilo-Saharan,S-Africa,,,0,0.375,4,210000,8897.102821,0,FALSE,no information,,,,,
loj,Lou,Austronesian,N-Coast-New-Guinea,,,0,0.1666666716,6,1000,29.40943373,0,FALSE,Used as L2 by Baluan-Pam [blq].,,,,,
lol,Mongo-Nkundu,Niger-Congo,S-Africa,,,0,0.5,2,400000,223865.0189,0,FALSE,Used as L2 by Lalia [lal].,,,,,
los,Loniu,Austronesian,N-Coast-New-Guinea,,,0,0.2045454532,11,460,7.272559098,0,FALSE,Used as L2 by Papitalai [pat].,,,,,
loy,Lowa,Sino-Tibetan,Indic,,,0,1,1,7500,1866.218873,0,FALSE,"Used as L2 by Dolpo [dre], Seke [skj].",,,,,
loz,Lozi,Niger-Congo,S-Africa,1.540834188,8.210430145,,0.5,2,694000,41125.68437,1,FALSE,"Used as L2 by Khwedam [xuu], Nkoya [nka].",,,,,
lsi,Lashi,Sino-Tibetan,,1.458401918,8.51393795,0,,,31800,1758.392124,0,FALSE,no information,,,,,
lsm,Saamia,Niger-Congo,,1.538678288,10.42459011,0,,,335000,935.8852371,0,FALSE,Used as L2 by Kenye [lke].,,,,,
lti,Leti,Austronesian,Oceania,,,0,1,4,7500,96.90116924,0,FALSE,Used as L2 by Luang [lex].,,,,,
lua,Luba-Kasai,Niger-Congo,S-Africa,,,0.1000000015,1,1,6300000,53998.3082,1,TRUE,no information,,,,,
lub,Luba-Katanga,Niger-Congo,S-Africa,,,0,0.6666666865,3,1510000,151247.0594,0,FALSE,no information,,,,,
lue,Luvale,Niger-Congo,S-Africa,,,,0.6002380848,25,632000,106175.9851,1,FALSE,no information,,,,,
lug,Ganda,Niger-Congo,S-Africa,,,0.1523588896,0.7708333135,12,4130000,37395.14961,1,TRUE,"Used as L2 by Gwere [gwr], Kenye [lke], Masaaba [myx], Nyole [nuj], Ruuli [ruc], Soga [xog].",,,,,
lui,Luiseño,Uto-Aztecan,California,,,0,0.8571428657,7,35,268.7442593,0,FALSE,no information,,,,,
lun,Lunda,Niger-Congo,S-Africa,,,0,0.6666666865,9,628000,131662.8803,0,FALSE,no information,,,,,
luo,Luo,Nilo-Saharan,S-Africa,1.806895494,9.987151146,0,0.5833333135,12,4410000,10150.09344,0,FALSE,Used as L2 by Suba [sxb].,,,,,
lus,Mizo,Sino-Tibetan,Southeast-Asia,1.470345259,8.041837692,0,0.1818181872,11,541750,17290.32236,0,FALSE,"Used as L2 by Bawm Chin [bgr], Biete [biu], Chakma [ccp], Hmar [hmr], Hrangkhol [hra], Mara Chin [mrh], Paite Chin [pck], Pankhu [pkh], Pnar [pbv], Ralte [ral].",,,,,
lut,Lushootseed,Salish,Alaska-Oregon,,,0,1,1,60,43.37348197,0,FALSE,no information,,,,,
lvk,Lavukaleve,Central-Solomons,Oceania,,,0,0.5988553166,26,1780,230.9049134,0,FALSE,no information,,,,,
lwm,Laomian,Sino-Tibetan,,,,0,1,2,1600,,0,FALSE,no information,,,,,
lwo,Luwo,Nilo-Saharan,African-Savannah,1.566724539,8.695381165,0,1,2,80000,5408.670988,0,FALSE,Used as L2 by Thuri [thu].,,,,,
lww,Lewo,Austronesian,Oceania,,,0,0.4285714328,7,2200,224.4621155,0,FALSE,no information,,,,,
lzz,Laz,Kartvelian,Greater-Mesopotamia,,,0,0.944444418,3,32000,4983.800468,0,FALSE,no information,,,,,
maa,San Jerónimo Tecóatl Mazatec,Otomanguean,,1.387508631,8.761063576,0,,,21100,168.6055476,0,FALSE,no information,,,,,
mad,Madura,Austronesian,Southeast-Asia,1.454932809,8.892703056,0,0.597222209,3,13600000,30065.48491,0,FALSE,no information,,,,,
mag,Magahi,Indo-European,Indic,,,0.0007688803016,1,2,13000000,25091.22379,0,TRUE,no information,,,,,
mah,Marshallese,Austronesian,Oceania,1.548033953,8.048946381,,1,1,43900,211.0906662,1,FALSE,no information,,,,,
mai,Maithili,Indo-European,Indic,1.76287818,9.112644196,0.005720991641,0.4545454681,11,34700000,21747.81713,1,TRUE,no information,,,,,
maj,Jalapa de Díaz Mazatec,Otomanguean,,1.343474746,8.681996346,0,,,24200,192.877591,0,FALSE,no information,,,,,
mak,Makasar,Austronesian,Oceania,1.421257138,9.579497337,0.1581027657,1,1,1600000,4630.520108,0,TRUE,no information,,,,,
mal,Malayalam,Dravidian,Indic,1.565055013,11.28446579,,0.5749999881,10,35400313,33462.16139,1,FALSE,"Used as L2 by Allar [all], Aranadan [aaf], Attapady Kurumba [pkr], Irula [iru], Jennu Kurumba [xuj], Kadar [kej], Kalanadi [wkl], Kanikkaran [kev], Kodava [kfa], Kudiya [kfg], Kunduvadi [wku], Kurichiya [kfh], Mala Malasar [ima], Malapandaram [mjp], Malasar [ymr], Malavedan [mjr], Mannan [mjv], Muduga [udg], Mullu Kurumba [kpb], Muthuvan [muv], Paliyan [pcf], Paniya [pcg], Ravula [yea], Thachanadan [thn], Urali [url].",,,,,
mam,Northern Mam,Mayan,Mesoamerica,1.523517489,9.367361069,0,,,201000,2548.735883,0,FALSE,Used as L2 by K’iche’ [quc].,,,,,
maq,Chiquihuitlán Mazatec,Otomanguean,Mesoamerica,1.275402308,7.569878101,0,0.6666666865,3,2500,44.7086561,0,FALSE,no information,,,,,
mar,Marathi,Indo-European,Indic,1.792482376,10.38166142,0.04011995345,0.5604166389,12,68000000,208530.9996,1,TRUE,"Used as L2 by Ahirani [ahr], Bhalay [bhx], Far Western Muria [fmu], Gowli [gok], Indo-Portuguese [idb], Katkari [kfu], Khandesi [khn], Korku [kfq], Korlai Creole Portuguese [vkp], Lambadi [lmn], Mawchi [mke], Nihali [nll], Noiri [noi], Northern Gondi [gno], Northwestern Kolami [kfb], Palya Bareli [bpx], Pardhan [pch], Pauri Bareli [bfb], Powari [pwr], Rathwi Bareli [bgd], Saraiki [skr], Tulu [tcy], Vaagri Booli [vaa], Varli [vav], Vasavi [vas], Waddar [wbq].",,,,,
mas,Maasai,Nilo-Saharan,S-Africa,,,0,0.5892857313,12,1045000,93451.71144,0,FALSE,Used as L2 by Omotik [omt].,,,,,
mau,Huautla Mazatec,Otomanguean,E-North-America,1.193374276,8.239419937,0,0.8000000119,5,82200,516.1881411,0,FALSE,no information,,,,,
mav,Sateré-Mawé,Tupian,,1.400908589,8.566901207,0,,,7130,11629.24926,0,FALSE,no information,,,,,
maw,Mampruli,Niger-Congo,African-Savannah,1.550914884,7.862109661,,,,220000,5513.935343,1,FALSE,Used as L2 by Konni [kma].,,,,,
maz,Mazahua Central,Otomanguean,Mesoamerica,1.40111959,7.974927902,0,,,350000,1977.365153,0,FALSE,no information,,,,,
mbb,Western Bukidnon Manobo,Austronesian,Oceania,1.297565103,7.709038734,0,0.375,8,19000,1345.405332,0,FALSE,no information,,,,,
mbc,Macushi,Cariban,NE-South-America,1.290413976,9.019431114,0,0.6019607782,17,29100,15355.98987,0,FALSE,no information,,,,,
mbf,Baba Malay,Creole,,1.424710274,8.140445709,0,,,15000,81.54416423,0,FALSE,no information,,,,,
mbh,Mangseng,Austronesian,,1.303875566,7.408033848,0,,,2500,1139.265959,0,FALSE,Used as L2 by Amio-Gelimi [let].,,,,,
mbj,Nadëb,Puinavean,NE-South-America,1.271523833,7.928913593,0,0.3333333433,2,300,4132.012809,0,FALSE,no information,,,,,
mbl,Maxakalí,Maxakalian,SE-South-America,1.228427291,8.107276917,0,1,1,800,3450.496088,0,FALSE,no information,,,,,
mbp,Malayo,Chibchan,NE-South-America,,,0,0.25,2,1920,859.5845174,0,FALSE,Used as L2 by Kogi [kog].,,,,,
mbq,Maisin,Austronesian,S-New-Guinea,,,0,0.75,8,2610,487.9967328,0,FALSE,no information,,,,,
mbs,Sarangani Manobo,Austronesian,,1.232380271,,0,,,58000,1672.453153,0,FALSE,Used as L2 by Sarangani Blaan [bps].,,,,,
mbt,Matigsalug Manobo,Austronesian,Oceania,1.335549116,7.731918335,0,,,30000,1526.436211,0,FALSE,no information,,,,,
mca,Maca,Matacoan,SE-South-America,1.399457335,8.635883331,0,,,1500,940.6340714,0,FALSE,no information,,,,,
mcb,Machiguenga,Maipurean,NE-South-America,1.252978206,10.84354687,0,0.3333333433,3,10100,23915.79169,0,FALSE,"Used as L2 by Caquinte [cot], Nanti [cox], Yine [pib].",,,,,
mcd,Sharanahua,Panoan,NE-South-America,1.408572674,9.935789108,0,1,3,453,6480.032291,0,FALSE,Used as L2 by Amahuaca [amc].,,,,,
mcf,Matsés,Panoan,NE-South-America,1.291619182,10.16284847,0,0.3333333433,1,2200,4316.624141,0,FALSE,no information,,,,,
mch,Maquiritari,Cariban,NE-South-America,,,0,0.8571428657,7,5950,52571.08329,0,FALSE,"Used as L2 by Piaroa [pid], Sanumá [xsu].",,,,,
mck,Mbunda,Niger-Congo,,1.374757171,9.649385452,0,,,291000,34672.47733,0,FALSE,no information,,,,,
mcn,Masana,Afro-Asiatic,African-Savannah,1.637548685,8.907813072,0,0.400000006,5,233000,8911.892545,0,FALSE,no information,,,,,
mco,Coatlán Mixe,Mixe-Zoquean,Mesoamerica,1.512354016,8.818775177,0,0.400000006,5,5000,399.5678254,0,FALSE,no information,,,,,
mcp,Makaa,Niger-Congo,African-Savannah,1.62308526,,0,,,80000,8296.936636,0,FALSE,Used as L2 by Kol [biw].,,,,,
mcq,Ese,Trans-New-Guinea,S-New-Guinea,1.521953702,9.872774124,0,,,10000,845.8643534,0,FALSE,no information,,,,,
mcr,Menya,Trans-New-Guinea,Interior-New-Guinea,,,0,1,1,20000,670.4402437,0,FALSE,no information,,,,,
mcs,Mambai,Niger-Congo,African-Savannah,,,0,1,3,10000,314.3942002,0,FALSE,no information,,,,,
mcu,Cameroon Mambila,Niger-Congo,,1.621368289,7.954414845,0,,,30000,1189.86636,0,FALSE,no information,,,,,
mda,Mada,Niger-Congo,African-Savannah,1.425384998,7.506643772,0,,,100000,764.8508395,0,FALSE,no information,,,,,
mdd,Mbum,Niger-Congo,African-Savannah,,,0,0,6,51100,13907.87505,0,FALSE,no information,,,,,
mde,Maba,Nilo-Saharan,African-Savannah,,,,0.6640625,16,296000,25219.29015,1,FALSE,"Used as L2 by Kendeje [klf], Surbakhal [sbj].",,,,,
mdi,Mamvu,Nilo-Saharan,S-Africa,,,0,0.8000000119,5,60000,9077.096719,0,FALSE,no information,,,,,
mdj,Mangbetu,Nilo-Saharan,S-Africa,,,0,0.625,8,620000,29679.09246,0,FALSE,"Used as L2 by Asoa [asv], Lika [lik].",,,,,
mdm,Mayogo,Niger-Congo,African-Savannah,,,0,0.400000006,5,100000,2983.140043,0,FALSE,no information,,,,,
mdq,Mbole,Niger-Congo,S-Africa,,,0,1,3,100000,20137.95456,0,FALSE,no information,,,,,
mdw,Mbosi,Niger-Congo,African-Savannah,,,0,0,1,108000,6780.518836,0,FALSE,no information,,,,,
mdx,Dizi,Afro-Asiatic,Greater-Abyssinia,,,0.05702364445,0.6416666508,4,21100,2109.10489,0,TRUE,no information,,,,,
mdy,Male,Afro-Asiatic,Greater-Abyssinia,2.283958912,10.59538841,0.06635117531,1,1,53800,1234.616085,0,TRUE,no information,,,,,
mec,Mara,Australian,N-Australia,,,0,0.6363636255,11,15,2711.767802,0,FALSE,no information,,,,,
med,Melpa,Trans-New-Guinea,Interior-New-Guinea,1.303650856,8.003224373,0,,,130000,2178.479618,0,FALSE,"Used as L2 by Bo-Ung [mux], Umbu-Ungu [ubu].",,,,,
mee,Mengen,Austronesian,,1.186229706,7.856788158,0,,,8400,2774.242429,0,FALSE,Used as L2 by Meramera [mxm].,,,,,
mei,Midob,Nilo-Saharan,African-Savannah,,,0,0.6666666865,1,50000,1512.625239,0,FALSE,no information,,,,,
mej,Meyah,East-Bird’s-Head-Sentani,N-Coast-New-Guinea,1.15171349,7.726891041,0,0.5,10,14800,6645.248249,0,FALSE,no information,,,,,
mek,Mekeo,Austronesian,S-New-Guinea,1.366415858,8.886324883,0,1,2,19000,3166.543246,0,FALSE,no information,,,,,
men,Mende,Niger-Congo,African-Savannah,1.602728724,8.460298538,,0.4393939376,11,1499700,28813.78323,1,FALSE,"Used as L2 by Bom-Kim [bmf], Northern Kissi [kqs].",,,,,
mep,Miriwung,Australian,N-Australia,,,0,0.6666666865,3,110,17789.78193,0,FALSE,no information,,,,,
meq,Merey,Afro-Asiatic,,1.287878275,7.530761242,0,,,10000,47.2227639,0,FALSE,no information,,,,,
meu,Motu,Austronesian,S-New-Guinea,1.460217595,8.532932281,0,0.2954545319,11,39000,65.62776575,0,FALSE,Used as L2 by Sinaugoro [snc].,,,,,
mev,Mann,Niger-Congo,African-Savannah,,,0,0.224999994,10,259000,6774.808496,0,FALSE,Used as L2 by Dan [dnj].,,,,,
mez,Menominee,Algic,E-North-America,,,0.4166666567,0.8888888955,9,39,489.8732751,0,TRUE,no information,,,,,
mfc,Mba,Niger-Congo,S-Africa,,,0,0.8333333135,6,36100,7001.655974,0,FALSE,no information,,,,,
mfe,Morisyen,Creole,S-Africa,1.681109905,,0.1498127282,,,800000,2012.56347,0,TRUE,no information,,,,,
mfh,Matal,Afro-Asiatic,,1.38433218,7.91630888,0,,,18000,98.74581073,0,FALSE,no information,,,,,
mfi,Wandala,Afro-Asiatic,African-Savannah,1.390095711,8.179664612,0,0.6666666865,6,43500,1791.676265,0,FALSE,"Used as L2 by Vame [mlr], Wuzlam [udl].",,,,,
mfq,Moba,Niger-Congo,,1.600259304,7.686752319,0,,,190800,1861.058309,0,FALSE,"Used as L2 by Mampruli [maw], Ngangam [gng].",,,,,
mfr,Marithiel,Australian,N-Australia,,,0.769230783,0.5,3,25,544.8605213,0,TRUE,no information,,,,,
mfy,Mayo,Uto-Aztecan,Mesoamerica,1.66253984,10.04061222,0,,,40000,29739.70957,0,FALSE,no information,,,,,
mgd,Moru,Nilo-Saharan,African-Savannah,,,0,0.625,8,70000,6374.805367,0,FALSE,"Used as L2 by Baka [bdh], Morokodo [mgc].",,,,,
mge,Mango,Nilo-Saharan,African-Savannah,,,0,1,1,52200,2637.676606,0,FALSE,no information,,,,,
mgf,Maklew,South-Central-Papuan,S-New-Guinea,,,0,0.6666666865,3,120,3015.025932,0,FALSE,no information,,,,,
mgh,Makhuwa-Meetto,Niger-Congo,,1.713543296,,0,,,1348000,65541.91471,0,FALSE,no information,,,,,
mgl,Maleu-Kilenge,Austronesian,N-Coast-New-Guinea,,,0,0.2857142985,7,5200,820.2205607,0,FALSE,"Used as L2 by Amara [aie], Anem [anz].",,,,,
mgp,Eastern Magar,Sino-Tibetan,Indic,,,0,0.8000000119,5,555000,5965.810924,0,FALSE,no information,,,,,
mgr,Mambwe-Lungu,Niger-Congo,S-Africa,,,0,1,3,674000,24814.62323,0,FALSE,no information,,,,,
mgu,Mailu,Trans-New-Guinea,S-New-Guinea,,,0,0.5,2,8500,577.8124192,0,FALSE,"Used as L2 by Bauwaki [bwk], Binahari [bxz], Domu [dof], Magori [zgr], Morawa [mze].",,,,,
mgw,Matumbi,Niger-Congo,S-Africa,,,0,0.6666666865,6,72000,5944.03124,0,FALSE,no information,,,,,
mhd,Mbugu,Mixed-language,S-Africa,,,0,1,1,7000,192.8609542,0,FALSE,no information,,,,,
mhi,Ma'di,Nilo-Saharan,S-Africa,1.644997001,8.314153671,0,0.25,11,314000,8670.78175,0,FALSE,no information,,,,,
mhj,Mogholi,Altaic,Inner-Asia,,,0,0.6666666865,7,200,60.63534489,0,FALSE,no information,No known L1 speakers,,,,
mhk,Mungaka,Niger-Congo,African-Savannah,,,0,0.75,4,50100,410.1438694,0,FALSE,Used as L2 by Pinyin [pny].,,,,,
mhl,Mauwake,Trans-New-Guinea,,1.444272637,8.884832382,0,,,2390,206.4453707,0,FALSE,no information,,,,,
mhq,Mandan,Siouan-Catawban,Basin-and-Plains,,,0,1,11,6,144.530437,0,TRUE,no information,L2prop==0 in Ethnologue,,,,
mhr,Eastern Mari,Uralic,Inner-Asia,1.736033678,10.49884415,0,0.6999999881,10,451000,29095.78646,0,FALSE,Used as L2 by Hill Mari [mrj].,,,,,
mhs,Buru,Austronesian,Oceania,,,0,0.5,1,33000,7555.75699,0,FALSE,no information,,,,,
mhu,Digaro-Mishmi,Sino-Tibetan,Indic,,,0,0.834821403,8,9470,1745.415273,0,FALSE,Used as L2 by Miju-Mishmi [mxj].,,,,,
mhx,Maru,Sino-Tibetan,Southeast-Asia,1.300161362,8.432783127,0,0,6,103500,1204.8032,0,FALSE,no information,,,,,
mhy,Ma'anyan,Austronesian,Southeast-Asia,1.448451638,8.542495728,0,,,150000,3915.159667,0,FALSE,no information,,,,,
mhz,Mor,Austronesian,N-Coast-New-Guinea,,,0,1,2,700,246.7587921,0,FALSE,no information,,,,,
mib,Atatláhuca Mixtec,Otomanguean,Mesoamerica,1.386007309,7.786866188,0,,,8300,107.2275944,0,FALSE,no information,,,,,
mic,Micmac,Algic,E-North-America,1.571029902,,0,,,9290,2217.499463,0,FALSE,no information,,,,,
mie,Ocotepec Mixtec,Otomanguean,Mesoamerica,1.332948804,7.392014503,0,0.1428571492,7,6500,304.6471285,0,FALSE,no information,,,,,
mif,Mofu-Gudur,Afro-Asiatic,African-Savannah,1.297784328,7.58318615,0,0,3,60000,245.5829781,0,FALSE,"Used as L2 by Cuvok [cuv], Gavar [gou], Mbudum [xmd].",,,,,
mig,San Miguel el Grande Mixtec,Otomanguean,Mesoamerica,1.313938141,8.927341461,0,0.4283424914,26,14500,254.8929216,0,FALSE,no information,,,,,
mih,Chayuco Mixtec,Otomanguean,Mesoamerica,1.260707378,6.893642426,0,,,30000,164.8466491,0,FALSE,no information,,,,,
mik,Mikasuki,Muskogean,E-North-America,,,0,1,9,400,450.9054359,0,FALSE,Used as L2 by Muskogee [mus].,,,,,
mil,Peñoles Mixtec,Otomanguean,Mesoamerica,1.149589419,8.94328022,0,0.3333333433,9,13400,183.7125711,0,FALSE,no information,,,,,
mim,Alacatlatzala Mixtec,Otomanguean,Mesoamerica,,,0,1,1,22200,318.4414945,0,FALSE,no information,,,,,
min,Minangkabau,Austronesian,Southeast-Asia,1.339366198,8.695329666,0,0.09090909362,11,5530000,39985.29333,0,FALSE,no information,,,,,
mio,Pinotepa Nacional Mixtec,Otomanguean,Mesoamerica,1.105163813,6.670391083,0,0.4285714328,7,20000,306.5215579,0,FALSE,no information,,,,,
miq,Mískito,Misumalpan,Mesoamerica,1.473739982,8.142868996,,0.5185185075,9,183000,17791.90734,1,FALSE,"Used as L2 by Mayangna [yan], Spanish [spa].",,,,,
mir,Isthmus Mixe,Mixe-Zoquean,,1.262943387,9.031121254,0,,,20000,184.3137283,0,FALSE,no information,,,,,
mit,Southern Puebla Mixtec,Otomanguean,,1.508275151,9.21396637,0,,,1330,134.8531681,0,FALSE,no information,,,,,
miy,Ayutla Mixtec,Otomanguean,Mesoamerica,,,0,0,1,8500,284.0517801,0,FALSE,no information,,,,,
miz,Coatzospan Mixtec,Otomanguean,Mesoamerica,1.432014465,8.103814125,0,0,1,5000,49.0830961,0,FALSE,no information,,,,,
mjc,San Juan Colorado Mixtec,Otomanguean,Mesoamerica,1.184547901,7.039534569,0,,,13500,235.3352333,0,FALSE,no information,,,,,
mjd,Northwest Maidu,Maiduan,California,,,0,1,9,4,263.9379284,0,FALSE,no information,,,,,
mjg,Tu,Altaic,Inner-Asia,,,0,0.4242424369,11,152000,4163.333695,0,FALSE,no information,,,,,
mjk,Matukar,Austronesian,N-Coast-New-Guinea,,,0,1,1,430,2.43209822,0,FALSE,Used as L2 by Bargam [mlp].,,,,,
mjw,Karbi,Sino-Tibetan,Indic,,,0,0.6499999762,10,492000,3643.556083,0,FALSE,Used as L2 by Sakachep [sch].,,,,,
mkd,Macedonian,Indo-European,Europe,1.853761435,9.343263626,,0.3333333433,6,1790000,35061.68764,1,FALSE,no information,,,,,
mkf,Miya,Afro-Asiatic,African-Savannah,,,0,0.4923076928,13,30000,91.72333115,0,FALSE,no information,,,,,
mkj,Mokilese,Austronesian,Oceania,,,0,0.3652777672,18,1050,1.280423533,0,FALSE,no information,,,,,
mkn,Kupang Malay,Creole,,1.324078202,,0.4285714328,,,200000,933.553949,1,TRUE,"Used as L2 by Helong [heg], Lole [llg], Termanu [twu], Tii [txq].",,,,,
mks,Silacayoapan Mixtec,Otomanguean,Mesoamerica,1.233091712,7.819886208,0,0,1,18700,1181.424277,0,FALSE,no information,,,,,
mky,East Makian,Austronesian,Oceania,,,0,0.3329364955,21,20000,157.5275255,0,FALSE,no information,,,,,
mkz,Makasae,Trans-New-Guinea,Oceania,,,0,0.125,8,70000,3002.872399,0,FALSE,no information,,,,,
mla,Malo,Austronesian,Oceania,,,0,0.5,1,4000,180.1763614,0,FALSE,no information,,,,,
mlh,Mape,Trans-New-Guinea,,1.542253017,9.924960136,0,,,5120,466.861154,0,FALSE,no information,,,,,
mlm,Mulam,Tai-Kadai,Southeast-Asia,,,0,0.125,2,86000,980.6493124,0,FALSE,no information,,,,,
mlp,Bargam,Trans-New-Guinea,N-Coast-New-Guinea,1.388487816,8.555906296,0,1,3,3750,64.96141286,0,FALSE,Used as L2 by Matukar [mjk].,,,,,
mlq,Western Maninkakan,Niger-Congo,African-Savannah,,,0,0.75,4,525300,48000.411,0,FALSE,no information,,,,,
mls,Masalit,Nilo-Saharan,African-Savannah,,,0,1,12,60900,18968.10999,0,FALSE,no information,,,,,
mlt,Maltese,Afro-Asiatic,Europe,1.844299078,10.02927876,,0.4875000119,8,300000,313.525928,1,FALSE,no information,,,,,
mlu,To'abaita,Austronesian,Oceania,,,0,0,1,12600,108.6951083,0,FALSE,no information,,,,,
mlv,Motlav,Austronesian,Oceania,,,0,0.4642857015,7,2200,48.59142025,0,FALSE,no information,,,,,
mme,Mae,Austronesian,Oceania,,,0,0,8,1000,85.05053272,0,FALSE,no information,,,,,
mmn,Mamanwa,Austronesian,Oceania,,,0,0.1666666716,6,5150,169.9501237,0,FALSE,no information,,,,,
mmo,Mangga Buang,Austronesian,,1.375974655,8.581956863,0,,,3000,174.5928021,0,FALSE,no information,,,,,
mmx,Madak,Austronesian,,1.245660782,8.558297157,0,,,3000,631.3306797,0,FALSE,no information,,,,,
mmy,Migaama,Afro-Asiatic,African-Savannah,,,0,1,2,20000,1319.498228,0,FALSE,no information,,,,,
mna,Mbula,Austronesian,N-Coast-New-Guinea,1.456082821,8.383844376,0,0.5,2,4500,213.4197809,0,FALSE,no information,,,,,
mnb,Muna,Austronesian,Oceania,1.525020003,9.953003883,0,0.6666666865,12,300000,3780.761842,0,FALSE,Used as L2 by Taloki [tlk].,,,,,
mnc,Manchu,Altaic,Inner-Asia,,,0,0.8333333135,6,60,27538.62758,0,FALSE,Used as L2 by Daur [dta].,semi-speakers,,,,
mnf,Mundani,Niger-Congo,African-Savannah,1.709298253,8.536215782,0,1,1,34000,198.5953383,0,FALSE,no information,,,,,
mnh,Mono,Niger-Congo,African-Savannah,1.303167462,7.404562473,0,,,65000,4207.024539,0,FALSE,"Used as L2 by Furu [fuu], Gbanziri [gbg], Gobu [gox], Mid-Southern Banda [bjo], Ngbundu [nuu], South Central Banda [lnl], Togbo-Vara Banda [tor].",,,,,
